Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
India,2019,Sql Injection,Retail,15.39,514826,Hacker Group,Unpatched Software,Firewall,72,29.893595117573703,2015-2019
Japan,2022,Malware,Education,97.32,742866,Nation-state,Social Engineering,Encryption,61,131.0061303115232,2020-2024
Uk,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63,96.35940840386563,2015-2019
Australia,2022,Sql Injection,IT,15.29,42346,Hacker Group,Unpatched Software,VPN,33,361.07306475227887,2020-2024
Japan,2019,Malware,Telecommunications,5.88,235399,Unknown,Social Engineering,Antivirus,21,24.978865670627318,2015-2019
Usa,2015,Man-In-The-Middle,Retail,24.93,448426,Nation-state,Weak Passwords,VPN,36,55.5944570564597,2015-2019
France,2020,Ransomware,Retail,97.37,467137,Nation-state,Social Engineering,Encryption,14,208.43992233541766,2020-2024
Japan,2017,Sql Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28,31.556657795647983,2015-2019
India,2022,Man-In-The-Middle,Government,4.05,357898,Hacker Group,Social Engineering,Firewall,27,11.316073294625843,2020-2024
China,2016,Ddos,Banking,76.9,605118,Insider,Social Engineering,Firewall,30,127.0826516481083,2015-2019
Russia,2022,Man-In-The-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28,908.3630815021334,2020-2024
France,2016,Ransomware,Healthcare,34.29,157547,Insider,Unpatched Software,AI-based Detection,29,217.6493363885063,2015-2019
Brazil,2022,Sql Injection,Healthcare,56.63,242677,Insider,Social Engineering,Encryption,21,233.35544777626228,2020-2024
China,2016,Sql Injection,Banking,63.67,385872,Insider,Zero-day,Firewall,50,165.0029025168968,2015-2019
Germany,2018,Ddos,Retail,80.85,148209,Insider,Weak Passwords,Antivirus,54,545.5134303584803,2015-2019
Japan,2022,Ddos,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61,24.51884983365896,2020-2024
Russia,2023,Malware,IT,47.22,404004,Nation-state,Social Engineering,Encryption,58,116.88003089078326,2020-2024
Uk,2018,Ransomware,Retail,28.98,981029,Nation-state,Weak Passwords,Antivirus,42,29.54041113973185,2015-2019
France,2017,Malware,Telecommunications,96.63,389525,Unknown,Zero-day,Antivirus,32,248.0713689750337,2015-2019
India,2019,Sql Injection,IT,43.97,764974,Nation-state,Weak Passwords,VPN,18,57.47907772028853,2015-2019
India,2017,Man-In-The-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49,146.9521890892019,2015-2019
Brazil,2024,Sql Injection,IT,53.71,680584,Insider,Zero-day,AI-based Detection,5,78.91751789639486,2020-2024
China,2018,Sql Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47,16.918945473851636,2015-2019
Russia,2021,Sql Injection,Banking,80.68,983047,Hacker Group,Unpatched Software,Antivirus,19,82.07135569306452,2020-2024
France,2015,Malware,Government,17.3,610049,Hacker Group,Social Engineering,AI-based Detection,37,28.35837776965457,2015-2019
India,2021,Sql Injection,IT,52.16,100105,Unknown,Zero-day,Firewall,56,521.0528944608161,2020-2024
Usa,2023,Sql Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8,1506.1113168793563,2020-2024
Usa,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41,390.4364276860852,2020-2024
Brazil,2019,Ransomware,Healthcare,9.32,785564,Insider,Unpatched Software,Antivirus,70,11.86408745818291,2015-2019
China,2023,Phishing,Banking,15.21,597516,Nation-state,Unpatched Software,Antivirus,15,25.455385295121804,2020-2024
Uk,2019,Ransomware,IT,17.98,799372,Hacker Group,Zero-day,AI-based Detection,14,22.4926567355374,2015-2019
France,2018,Sql Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29,425.9624364428765,2015-2019
Brazil,2023,Man-In-The-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31,96.891546302633,2020-2024
Japan,2021,Sql Injection,Telecommunications,28.33,667271,Insider,Weak Passwords,Firewall,22,42.45651317081066,2020-2024
China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25,249.55931440573082,2020-2024
Brazil,2019,Sql Injection,Government,24.93,381105,Unknown,Weak Passwords,Encryption,3,65.41504309835872,2015-2019
Uk,2020,Ransomware,Banking,98.07,795120,Unknown,Social Engineering,Firewall,42,123.33987322668277,2020-2024
Russia,2017,Sql Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56,338.5530927705071,2015-2019
India,2023,Ddos,Government,34.46,580270,Unknown,Unpatched Software,Firewall,35,59.386147827735364,2020-2024
Uk,2018,Ransomware,Retail,45.67,277410,Hacker Group,Social Engineering,Firewall,42,164.62997008038644,2015-2019
Australia,2022,Man-In-The-Middle,Government,38.29,793946,Nation-state,Weak Passwords,Firewall,12,48.22746131348983,2020-2024
Australia,2019,Ransomware,Banking,15.21,126770,Insider,Weak Passwords,Encryption,67,119.98106807604323,2015-2019
Australia,2016,Phishing,IT,55.18,66776,Unknown,Zero-day,Encryption,29,826.3447945369594,2015-2019
China,2018,Ddos,Telecommunications,83.5,434797,Insider,Social Engineering,Antivirus,21,192.04364335540492,2015-2019
France,2024,Sql Injection,Retail,3.07,901137,Nation-state,Zero-day,Antivirus,10,3.4068071780428504,2020-2024
Australia,2020,Man-In-The-Middle,Banking,34.59,427407,Unknown,Unpatched Software,Encryption,47,80.92988650162492,2020-2024
Usa,2021,Phishing,Banking,28.75,959107,Unknown,Zero-day,Antivirus,35,29.975800406002666,2020-2024
Russia,2017,Man-In-The-Middle,IT,55.23,12439,Nation-state,Weak Passwords,Firewall,20,4440.067529544175,2015-2019
Germany,2021,Man-In-The-Middle,Banking,14.45,292854,Nation-state,Unpatched Software,AI-based Detection,14,49.341992938460805,2020-2024
Usa,2023,Malware,Banking,66.06,189116,Insider,Social Engineering,AI-based Detection,53,349.30941855792213,2020-2024
Usa,2017,Phishing,Telecommunications,19.6,889404,Unknown,Weak Passwords,Firewall,60,22.037229425547896,2015-2019
Usa,2017,Man-In-The-Middle,Retail,58.98,566242,Nation-state,Social Engineering,VPN,63,104.16041197933039,2015-2019
Brazil,2015,Sql Injection,IT,86.67,694491,Unknown,Unpatched Software,Firewall,65,124.79643364708829,2015-2019
Australia,2015,Ddos,Education,51.54,297721,Nation-state,Weak Passwords,Antivirus,29,173.11509769213458,2015-2019
China,2024,Sql Injection,Education,13.61,394335,Unknown,Zero-day,Encryption,43,34.513801716814385,2020-2024
Japan,2016,Man-In-The-Middle,IT,57.14,590262,Insider,Unpatched Software,Antivirus,15,96.80446987947725,2015-2019
Germany,2015,Ddos,IT,91.79,846200,Unknown,Social Engineering,AI-based Detection,26,108.4731741904987,2015-2019
Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18,2024.3325447786415,2015-2019
Uk,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43,109.4391914720673,2020-2024
Uk,2023,Ddos,Education,54.0,806965,Insider,Social Engineering,AI-based Detection,56,66.91740038291624,2020-2024
Russia,2018,Ransomware,Education,79.93,587346,Hacker Group,Social Engineering,Antivirus,39,136.086735927375,2015-2019
Japan,2015,Phishing,Education,2.43,552342,Unknown,Zero-day,VPN,62,4.3994481679828805,2015-2019
France,2019,Ddos,Education,66.65,47104,Insider,Social Engineering,VPN,5,1414.9541440217392,2015-2019
Usa,2016,Ddos,Retail,13.83,586557,Hacker Group,Social Engineering,AI-based Detection,37,23.57827116546218,2015-2019
Russia,2017,Malware,Government,2.65,500857,Hacker Group,Zero-day,VPN,35,5.290931343676938,2015-2019
Usa,2022,Man-In-The-Middle,Banking,65.51,977913,Hacker Group,Weak Passwords,Antivirus,70,66.98959927928149,2020-2024
France,2021,Malware,Telecommunications,68.64,894858,Hacker Group,Social Engineering,Firewall,19,76.70490737077839,2020-2024
Uk,2018,Man-In-The-Middle,IT,75.81,574089,Unknown,Unpatched Software,Firewall,32,132.05269566217086,2015-2019
Usa,2015,Ddos,Healthcare,62.99,232622,Nation-state,Weak Passwords,Antivirus,33,270.7826430862085,2015-2019
India,2015,Malware,Retail,89.95,917351,Unknown,Zero-day,Encryption,43,98.05407090633793,2015-2019
Australia,2024,Sql Injection,IT,98.31,694333,Insider,Unpatched Software,VPN,48,141.58912222233425,2020-2024
India,2017,Ransomware,Government,38.87,968822,Nation-state,Weak Passwords,Antivirus,25,40.12088907972775,2015-2019
Brazil,2015,Ddos,Banking,18.87,976838,Unknown,Weak Passwords,Firewall,65,19.317430321097255,2015-2019
Australia,2019,Ddos,Education,54.63,22739,Insider,Unpatched Software,Firewall,44,2402.4803201548,2015-2019
Uk,2015,Man-In-The-Middle,Retail,7.92,657442,Nation-state,Social Engineering,Firewall,29,12.046690050224964,2015-2019
Brazil,2018,Phishing,Education,57.59,257681,Nation-state,Zero-day,Antivirus,40,223.49338911289541,2015-2019
Japan,2021,Man-In-The-Middle,Retail,9.97,536471,Hacker Group,Weak Passwords,Encryption,72,18.584415560207354,2020-2024
France,2015,Ransomware,IT,84.02,824619,Unknown,Social Engineering,Firewall,21,101.88947865620365,2015-2019
Russia,2016,Sql Injection,Government,77.94,538804,Hacker Group,Weak Passwords,VPN,43,144.65371452327747,2015-2019
Japan,2023,Phishing,Healthcare,49.32,463704,Hacker Group,Weak Passwords,Firewall,14,106.36095440194607,2020-2024
China,2021,Man-In-The-Middle,Telecommunications,66.61,596341,Insider,Weak Passwords,AI-based Detection,9,111.69783731120282,2020-2024
Brazil,2020,Malware,Retail,89.71,529588,Nation-state,Weak Passwords,AI-based Detection,65,169.39583223184815,2020-2024
Germany,2018,Man-In-The-Middle,Retail,43.28,22241,Hacker Group,Zero-day,Firewall,5,1945.9556674609955,2015-2019
Brazil,2020,Phishing,Banking,21.65,434936,Hacker Group,Zero-day,Encryption,24,49.77743851969025,2020-2024
Japan,2019,Malware,IT,33.61,52191,Nation-state,Weak Passwords,Antivirus,72,643.980762966795,2015-2019
Australia,2015,Malware,Banking,8.24,242247,Insider,Social Engineering,Antivirus,29,34.01486912118623,2015-2019
Brazil,2020,Phishing,Banking,34.5,372427,Insider,Weak Passwords,VPN,72,92.63560375590384,2020-2024
Brazil,2021,Ransomware,Healthcare,67.25,796351,Nation-state,Weak Passwords,AI-based Detection,21,84.44768701238524,2020-2024
Japan,2020,Sql Injection,Telecommunications,38.29,505831,Hacker Group,Social Engineering,Encryption,40,75.69721903165286,2020-2024
Germany,2020,Malware,Government,32.59,743344,Insider,Zero-day,VPN,4,43.842420198454555,2020-2024
China,2017,Phishing,Healthcare,70.4,651809,Unknown,Unpatched Software,Firewall,17,108.00710023948733,2015-2019
Brazil,2023,Sql Injection,Telecommunications,31.54,839281,Insider,Weak Passwords,Encryption,25,37.57978555454014,2020-2024
Brazil,2018,Sql Injection,Retail,84.79,99876,Insider,Unpatched Software,Firewall,56,848.9527013496736,2015-2019
Uk,2016,Sql Injection,Telecommunications,98.39,836521,Insider,Weak Passwords,Firewall,19,117.61808729248877,2015-2019
Japan,2022,Sql Injection,Retail,43.73,392831,Nation-state,Weak Passwords,AI-based Detection,71,111.320135121719,2020-2024
China,2015,Ransomware,Government,86.88,99312,Unknown,Zero-day,AI-based Detection,60,874.818753020783,2015-2019
Japan,2017,Malware,Education,26.24,945147,Insider,Zero-day,AI-based Detection,20,27.762877097425058,2015-2019
Usa,2018,Ddos,IT,26.29,943039,Insider,Zero-day,Firewall,28,27.87795626692003,2015-2019
Brazil,2016,Malware,Retail,76.81,670642,Unknown,Unpatched Software,AI-based Detection,10,114.53204541320108,2015-2019
Usa,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48,186.0675497165297,2015-2019
China,2022,Ransomware,Education,49.56,257224,Hacker Group,Social Engineering,Firewall,46,192.67253444468633,2020-2024
India,2019,Ddos,Banking,58.96,891815,Unknown,Weak Passwords,Antivirus,19,66.1123663540084,2015-2019
China,2020,Ransomware,Banking,98.05,168617,Hacker Group,Unpatched Software,VPN,16,581.4953415136077,2020-2024
Uk,2016,Ransomware,Government,83.67,701152,Nation-state,Social Engineering,Firewall,53,119.33218474738716,2015-2019
Usa,2023,Sql Injection,Banking,30.66,749609,Nation-state,Zero-day,AI-based Detection,28,40.901323223173684,2020-2024
Uk,2024,Man-In-The-Middle,Government,86.74,658712,Hacker Group,Unpatched Software,VPN,25,131.6812203208686,2020-2024
China,2022,Ddos,Retail,77.74,642501,Hacker Group,Zero-day,AI-based Detection,19,120.9959206289173,2020-2024
Australia,2017,Malware,Banking,92.65,817255,Hacker Group,Weak Passwords,Antivirus,62,113.36730885708867,2015-2019
China,2021,Ransomware,Government,5.96,92237,Nation-state,Weak Passwords,AI-based Detection,47,64.61615186964016,2020-2024
Australia,2023,Man-In-The-Middle,Telecommunications,66.91,156195,Nation-state,Unpatched Software,Firewall,58,428.3747879253497,2020-2024
India,2016,Man-In-The-Middle,IT,23.38,618125,Nation-state,Zero-day,VPN,16,37.82406471183013,2015-2019
Australia,2021,Man-In-The-Middle,Banking,82.04,828293,Insider,Weak Passwords,Antivirus,64,99.04707633651377,2020-2024
Brazil,2017,Malware,Telecommunications,6.09,436100,Unknown,Zero-day,Encryption,12,13.964686998394864,2015-2019
Usa,2020,Ddos,Retail,14.12,787194,Unknown,Zero-day,VPN,51,17.937128585837797,2020-2024
France,2021,Phishing,Retail,31.52,380086,Nation-state,Social Engineering,Encryption,65,82.92860036939008,2020-2024
India,2024,Malware,Healthcare,13.74,330581,Unknown,Zero-day,AI-based Detection,54,41.56318723701604,2020-2024
Australia,2017,Sql Injection,IT,99.99,672966,Hacker Group,Zero-day,Firewall,13,148.58105758686173,2015-2019
India,2022,Malware,Telecommunications,19.56,772330,Hacker Group,Unpatched Software,Encryption,20,25.325961700309453,2020-2024
Japan,2018,Man-In-The-Middle,Telecommunications,81.61,255844,Insider,Unpatched Software,Encryption,8,318.9834430355998,2015-2019
Germany,2017,Ransomware,Government,80.7,107009,Nation-state,Social Engineering,Encryption,67,754.1421749572465,2015-2019
Japan,2020,Sql Injection,Retail,10.41,872095,Nation-state,Unpatched Software,Firewall,44,11.936772943314661,2020-2024
France,2015,Ddos,Banking,85.36,50427,Hacker Group,Zero-day,Encryption,5,1692.7439665258692,2015-2019
Usa,2017,Phishing,Retail,15.24,599197,Unknown,Zero-day,AI-based Detection,8,25.43403922249277,2015-2019
Brazil,2022,Malware,Telecommunications,40.08,459643,Nation-state,Weak Passwords,Antivirus,10,87.1981080969361,2020-2024
China,2021,Ddos,Telecommunications,10.2,950257,Nation-state,Weak Passwords,AI-based Detection,61,10.73393829248298,2020-2024
Australia,2022,Phishing,Healthcare,72.53,496317,Hacker Group,Weak Passwords,Antivirus,62,146.1364410245871,2020-2024
Brazil,2017,Man-In-The-Middle,Healthcare,96.36,596078,Hacker Group,Weak Passwords,Encryption,10,161.6566959357668,2015-2019
Brazil,2019,Ransomware,Banking,88.63,701522,Insider,Social Engineering,VPN,10,126.33958735435239,2015-2019
India,2015,Man-In-The-Middle,Healthcare,37.15,357124,Nation-state,Weak Passwords,Antivirus,31,104.02549254600643,2015-2019
Germany,2022,Sql Injection,Government,47.92,112688,Nation-state,Social Engineering,VPN,15,425.244924038052,2020-2024
India,2018,Phishing,Retail,14.46,743107,Hacker Group,Social Engineering,VPN,49,19.458839709490018,2015-2019
India,2022,Man-In-The-Middle,Banking,32.47,947465,Unknown,Unpatched Software,AI-based Detection,69,34.27039521248806,2020-2024
Japan,2019,Ransomware,Government,81.97,358572,Hacker Group,Weak Passwords,VPN,48,228.6012293207501,2015-2019
India,2024,Malware,IT,92.08,430701,Hacker Group,Unpatched Software,VPN,54,213.79100582538697,2020-2024
Russia,2021,Ddos,Banking,94.48,281900,Hacker Group,Zero-day,Antivirus,1,335.1543100390209,2020-2024
Australia,2021,Malware,IT,84.74,391257,Hacker Group,Zero-day,AI-based Detection,66,216.583984439895,2020-2024
China,2019,Man-In-The-Middle,Banking,81.8,277875,Nation-state,Social Engineering,Antivirus,43,294.3769680611786,2015-2019
Japan,2015,Ddos,IT,33.27,207244,Hacker Group,Zero-day,Antivirus,38,160.53540753893964,2015-2019
India,2018,Malware,Healthcare,66.96,294133,Insider,Social Engineering,VPN,20,227.65211655951558,2015-2019
Brazil,2023,Ransomware,Telecommunications,71.4,66852,Hacker Group,Weak Passwords,VPN,58,1068.030874169808,2020-2024
China,2024,Ransomware,Telecommunications,67.47,54722,Nation-state,Social Engineering,Encryption,13,1232.95932166222,2020-2024
Australia,2022,Phishing,Education,17.32,178951,Nation-state,Weak Passwords,Antivirus,26,96.78627110214528,2020-2024
Usa,2020,Ransomware,Healthcare,17.24,682791,Insider,Social Engineering,Encryption,44,25.249307621219376,2020-2024
Russia,2016,Sql Injection,Education,17.05,888205,Nation-state,Weak Passwords,AI-based Detection,38,19.19601893706971,2015-2019
France,2022,Phishing,IT,52.19,794901,Insider,Zero-day,VPN,26,65.6559747691851,2020-2024
France,2018,Ddos,Government,27.44,978683,Insider,Zero-day,VPN,35,28.0376792076699,2015-2019
Australia,2015,Phishing,Telecommunications,73.77,639279,Nation-state,Zero-day,VPN,44,115.39562538422192,2015-2019
Uk,2020,Malware,Retail,10.94,675338,Hacker Group,Weak Passwords,VPN,54,16.199295760049043,2020-2024
Australia,2021,Man-In-The-Middle,Government,42.24,147589,Insider,Unpatched Software,Antivirus,31,286.2001910711503,2020-2024
Australia,2017,Ddos,Government,82.39,646824,Hacker Group,Zero-day,AI-based Detection,2,127.3762259903776,2015-2019
China,2016,Phishing,Government,37.62,465317,Insider,Social Engineering,Firewall,20,80.84810999813031,2015-2019
Usa,2023,Malware,IT,21.53,233379,Unknown,Unpatched Software,Antivirus,50,92.25337326837462,2020-2024
China,2023,Malware,IT,43.51,684108,Unknown,Weak Passwords,Firewall,24,63.601068837084206,2020-2024
Russia,2020,Ddos,Healthcare,44.32,130510,Unknown,Social Engineering,AI-based Detection,66,339.5908359512681,2020-2024
Brazil,2016,Man-In-The-Middle,Banking,43.45,489853,Nation-state,Zero-day,AI-based Detection,28,88.70007941157857,2015-2019
Australia,2022,Malware,Healthcare,47.92,25905,Nation-state,Unpatched Software,VPN,40,1849.8359390079136,2020-2024
Japan,2023,Malware,IT,73.74,795367,Hacker Group,Zero-day,AI-based Detection,55,92.71191789450656,2020-2024
Australia,2023,Man-In-The-Middle,Retail,93.25,349335,Nation-state,Zero-day,Firewall,27,266.93574935234085,2020-2024
Usa,2015,Ransomware,Government,13.92,366147,Hacker Group,Weak Passwords,VPN,38,38.01751755442486,2015-2019
India,2018,Phishing,Government,41.1,25094,Nation-state,Unpatched Software,VPN,42,1637.841715151032,2015-2019
Russia,2024,Phishing,Retail,44.08,988889,Nation-state,Unpatched Software,Encryption,31,44.57527589041844,2020-2024
Japan,2022,Man-In-The-Middle,IT,65.19,216303,Hacker Group,Unpatched Software,AI-based Detection,49,301.3827824856798,2020-2024
Australia,2023,Ransomware,Healthcare,21.54,388211,Nation-state,Weak Passwords,Antivirus,22,55.48529021588775,2020-2024
